CMDLINE python3 server.py
MEM 0.429688 1527314361.9290
MEM 13.867188 1527314362.0317
MEM 41.140625 1527314362.1348
MEM 51.871094 1527314362.2380
MEM 83.859375 1527314362.3390
MEM 89.101562 1527314362.4418
MEM 99.386719 1527314362.5421
MEM 102.281250 1527314362.6468
MEM 106.921875 1527314362.7483
MEM 113.808594 1527314362.8509
MEM 119.859375 1527314362.9513
MEM 131.542969 1527314363.0550
MEM 138.890625 1527314363.1569
MEM 149.660156 1527314363.2613
MEM 155.757812 1527314363.3651
MEM 163.406250 1527314363.4696
MEM 176.539062 1527314363.5729
MEM 184.703125 1527314363.6746
MEM 186.039062 1527314363.7789
MEM 187.316406 1527314363.8796
MEM 188.574219 1527314363.9816
MEM 190.027344 1527314364.0848
MEM 191.402344 1527314364.1888
MEM 192.597656 1527314364.2910
MEM 193.660156 1527314364.3915
MEM 194.785156 1527314364.4939
MEM 196.031250 1527314364.5986
MEM 197.386719 1527314364.6989
MEM 198.183594 1527314364.7996
MEM 199.675781 1527314364.8997
MEM 201.992188 1527314365.0026
MEM 207.773438 1527314365.1028
MEM 221.425781 1527314365.2065
MEM 226.703125 1527314365.3095
MEM 230.492188 1527314365.4109
MEM 237.632812 1527314365.5143
MEM 240.402344 1527314365.6148
MEM 240.546875 1527314365.7200
MEM 240.652344 1527314365.8216
MEM 240.738281 1527314365.9230
MEM 240.898438 1527314366.0236
MEM 240.972656 1527314366.1256
MEM 245.894531 1527314366.2277
MEM 253.472656 1527314366.3324
MEM 253.488281 1527314366.4355
MEM 253.488281 1527314366.5386
MEM 253.488281 1527314366.6402
MEM 253.488281 1527314366.7443
MEM 253.488281 1527314366.8487
MEM 253.488281 1527314366.9494
MEM 253.488281 1527314367.0535
MEM 253.488281 1527314367.1569
MEM 253.488281 1527314367.2624
MEM 253.488281 1527314367.3663
MEM 253.488281 1527314367.4697
MEM 253.488281 1527314367.5738
MEM 253.488281 1527314367.6748
MEM 253.488281 1527314367.7791
MEM 253.488281 1527314367.8827
MEM 253.488281 1527314367.9881
MEM 253.488281 1527314368.0900
MEM 253.488281 1527314368.1950
MEM 253.488281 1527314368.2996
MEM 253.488281 1527314368.4000
MEM 253.488281 1527314368.5043
MEM 253.488281 1527314368.6081
MEM 253.488281 1527314368.7135
MEM 253.488281 1527314368.8165
MEM 253.488281 1527314368.9203
MEM 253.488281 1527314369.0239
MEM 253.488281 1527314369.1250
MEM 253.488281 1527314369.2295
MEM 253.488281 1527314369.3327
MEM 253.488281 1527314369.4345
MEM 253.488281 1527314369.5390
MEM 253.488281 1527314369.6417
MEM 253.488281 1527314369.7419
MEM 253.488281 1527314369.8459
MEM 253.488281 1527314369.9501
MEM 253.488281 1527314370.0540
MEM 253.488281 1527314370.1575
MEM 253.488281 1527314370.2629
MEM 253.488281 1527314370.3667
MEM 253.488281 1527314370.4675
MEM 253.488281 1527314370.5730
MEM 253.488281 1527314370.6738
MEM 253.488281 1527314370.7763
MEM 253.488281 1527314370.8798
MEM 253.488281 1527314370.9833
MEM 253.488281 1527314371.0856
MEM 253.488281 1527314371.1884
MEM 253.488281 1527314371.2908
MEM 253.488281 1527314371.3949
MEM 253.488281 1527314371.4972
MEM 253.476562 1527314371.6026
MEM 253.445312 1527314371.7042
MEM 253.425781 1527314371.8076
MEM 253.425781 1527314371.9131
MEM 253.425781 1527314372.0170
MEM 253.425781 1527314372.1201
MEM 253.425781 1527314372.2217
MEM 253.425781 1527314372.3229
MEM 253.425781 1527314372.4233
MEM 253.425781 1527314372.5244
MEM 253.425781 1527314372.6258
MEM 253.425781 1527314372.7282
MEM 253.425781 1527314372.8337
MEM 253.425781 1527314372.9364
MEM 253.425781 1527314373.0417
MEM 253.425781 1527314373.1441
MEM 253.425781 1527314373.2461
MEM 253.425781 1527314373.3504
MEM 253.425781 1527314373.4534
MEM 253.425781 1527314373.5569
MEM 253.425781 1527314373.6596
MEM 253.425781 1527314373.7629
MEM 253.425781 1527314373.8673
MEM 253.425781 1527314373.9710
MEM 253.425781 1527314374.0722
MEM 253.425781 1527314374.1769
MEM 253.425781 1527314374.2818
MEM 253.425781 1527314374.3838
MEM 253.425781 1527314374.4882
MEM 253.437500 1527314374.5934
MEM 253.437500 1527314374.6988
MEM 253.437500 1527314374.8007
MEM 253.437500 1527314374.9041
MEM 253.437500 1527314375.0095
MEM 253.437500 1527314375.1111
MEM 253.437500 1527314375.2133
MEM 253.437500 1527314375.3174
MEM 253.437500 1527314375.4229
MEM 253.437500 1527314375.5233
MEM 253.437500 1527314375.6258
MEM 253.437500 1527314375.7313
MEM 253.437500 1527314375.8321
MEM 253.437500 1527314375.9342
MEM 253.437500 1527314376.0369
MEM 253.437500 1527314376.1415
MEM 253.437500 1527314376.2456
MEM 253.437500 1527314376.3508
MEM 253.437500 1527314376.4512
MEM 253.437500 1527314376.5566
MEM 253.437500 1527314376.6574
MEM 253.437500 1527314376.7600
MEM 253.437500 1527314376.8643
MEM 253.437500 1527314376.9681
MEM 253.437500 1527314377.0715
MEM 253.437500 1527314377.1759
MEM 253.437500 1527314377.2814
MEM 253.437500 1527314377.3849
MEM 253.437500 1527314377.4854
MEM 253.437500 1527314377.5908
MEM 253.437500 1527314377.6963
MEM 253.437500 1527314377.7998
MEM 253.437500 1527314377.9015
MEM 253.437500 1527314378.0019
MEM 253.437500 1527314378.1040
MEM 253.437500 1527314378.2083
MEM 253.437500 1527314378.3128
MEM 253.437500 1527314378.4133
MEM 253.437500 1527314378.5187
MEM 253.437500 1527314378.6227
MEM 253.437500 1527314378.7231
MEM 253.437500 1527314378.8274
MEM 253.437500 1527314378.9298
MEM 253.437500 1527314379.0350
MEM 253.437500 1527314379.1386
MEM 253.437500 1527314379.2441
MEM 253.437500 1527314379.3495
MEM 253.437500 1527314379.4517
MEM 253.437500 1527314379.5567
MEM 253.437500 1527314379.6613
MEM 253.437500 1527314379.7667
MEM 253.437500 1527314379.8685
